PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,01:44.0,0,67be534c338ba12,aaaf0e4bdec7311,19e2e,19e2e,8415b8e237,5639bea67f
sms,0,01:44.0,2,b8c272a0f3af025,6b08e6ae39b04cc,19e2e,19e2e,439f07c2ce,5d5b23bfed
sms,0,01:44.0,1,cf676e378545f47,cf676e378545f47,19e2e,19e2e,00e9792ea7,7e0f36f733
sms,0,01:44.0,0,ea73ecfcbde9cd9,aaaf0e4bdec7311,19e2e,19e2e,c537b81993,58c9a7d6e4
sms,0,01:44.0,0,3e9c28be4140564,bf8b830686ad814,19e2e,19e2e,88b395081d,c1ccd3443b
data,0,01:44.0,_,ab7544f69c06032,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:44.0,_,1e32e1f90c16d8d,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
sms,0,01:44.0,0,ea73ecfcbde9cd9,aaaf0e4bdec7311,19e2e,19e2e,c537b81993,58c9a7d6e4
sms,0,01:44.0,1,325a73aab773c23,4fcd89b423f04e2,19e2e,19e2e,2qIUtlcPBL,2qIUtlcPBL
sms,0,01:45.0,0,dad50dc2e0f4d94,aaaf0e4bdec7311,19e2e,19e2e,Py1jxYGkim,Py1jxYGkim
Voice,126,01:45.0,2,e37d19810a05bc3,e23369dde84a4c9,19e2e,19e2e,V6JPgm7LAr,V6JPgm7LAr
Voice,0,01:45.0,2,897233ff1f9ee4a,178a7d50971ff40,19e2e,19e2e,66bd7d67b3,928a59b635
Voice,1,01:45.0,2,a03aac85569f505,3dad900c489074e,19e2e,19e2e,371b5549d7,79505e1209
Voice,54,01:45.0,3,11880a4c95da40b,013b381106fef9a,19e2e,19e2e,4d44e57552,4ed4d8b115
data,0,01:45.0,_,6e002af077f54d1,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,12,01:45.0,_,9273b610619cdd4,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:45.0,_,7856becfa4aae97,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
Voice,0,01:45.0,5,d1ee57e9c514fc0,97711df8a83ae87,19e2e,19e2e,baa72a53a9,09de0e9054
Voice,24,01:45.0,4,ee750ccd67a9d56,8ed10a74e0623ad,19e2e,19e2e,7110b7b291,54f07edad2
